HRYEAR4,GEREG,HEFAMINC,HES1D,HES8B,HESC3,HESC3A,HESH1,HESHF4,HESP6,HESS2,HESS6,HESSH1,HESSH2,HESSH3,HESSH4,HETS2O,HETS6O,HETS8CO,HETS8O,HETS8OU,HETSSHMF2,HETSSHMF3,HRFS12M1,HRFS12M8,HRFS12MC,HRFS12MD,HRFS30D1,HRFS30D2,HRFS30D5,HRFS30D8,HRNUMHOU,PEDISOUT,PEEDUCA,PEMARITL,PESEX,PRCITSHP,PRDISFLG,PRDTIND1,PREMPNOT,PRMJOCC1,PRTAGE,PRWKSTAT,PTDTRACE
2020,3,7,2,3,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,100,-1,-1,70,50,-1,-1,1,1,-1,1,1,1,-1,1,1,1,43,4,2,1,1,-1,4,-1,44,1,1
2020,3,16,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,100,80,-1,240,240,-1,-1,1,1,1,1,1,1,1,1,5,2,43,1,1,1,2,9,1,1,47,4,4
2020,3,16,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,100,80,-1,240,240,-1,-1,1,1,1,1,1,1,1,1,5,2,43,1,2,4,2,42,1,2,48,7,4
2020,3,16,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,100,80,-1,240,240,-1,-1,1,1,1,1,1,1,1,1,5,2,40,6,2,1,2,-1,4,-1,21,1,4
2020,3,16,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,100,80,-1,240,240,-1,-1,1,1,1,1,1,1,1,1,5,2,36,6,2,1,2,46,1,3,16,7,4
2020,3,16,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,100,80,-1,240,240,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,1,1,-1,-1,-1,-1,12,-1,4
2020,3,11,2,3,2,1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,0,150,-1,-1,3,4,-1,4,3,4,-1,4,2,2,39,1,2,1,2,22,1,3,61,7,2
2020,3,11,2,3,2,1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,0,150,-1,-1,3,4,-1,4,3,4,-1,4,2,2,39,1,1,1,2,-1,4,-1,75,1,2
2020,3,1,2,3,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,60,-1,-1,1,1,-1,1,1,1,-1,1,1,1,39,2,1,4,1,-1,4,-1,78,1,2
2020,3,11,2,3,1,-1,3,2,1,1,1,2,1,2,2,150,-1,-1,200,300,5,-1,3,3,2,4,3,4,2,3,4,2,39,6,2,1,2,-1,4,-1,31,1,1
2020,3,11,2,3,1,-1,3,2,1,1,1,2,1,2,2,150,-1,-1,200,300,5,-1,3,3,2,4,3,4,2,3,4,-1,-1,-1,1,1,-1,-1,-1,-1,8,-1,6
2020,3,11,2,3,1,-1,3,2,1,1,1,2,1,2,2,150,-1,-1,200,300,5,-1,3,3,2,4,3,4,2,3,4,2,43,3,1,1,2,32,1,2,37,2,1
2020,3,11,2,3,1,-1,3,2,1,1,1,2,1,2,2,150,-1,-1,200,300,5,-1,3,3,2,4,3,4,2,3,4,-1,-1,-1,1,1,-1,-1,-1,-1,4,-1,1
2020,3,13,2,3,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,30,-1,200,50,-1,-1,1,1,-1,1,1,1,-1,1,1,2,42,4,2,1,2,36,1,5,60,7,1
2020,3,1,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,50,-1,-1,0,0,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,4,2,1,2,-1,4,-1,70,1,1
